,Product,1,2,3,4,5,6,7,8,9,10,11,12,13
1,20in Monitor,100,98,96,98,89,90,92,94,114,109,125,134,135
2,27in 4K Gaming Monitor,137,180,154,158,160,152,113,129,141,204,200,195,197
3,27in FHD Monitor,143,185,174,182,189,172,149,184,162,230,206,215,221
4,34in Ultrawide Monitor,124,149,154,157,154,136,128,116,133,184,217,173,211
5,AA Batteries (4-pack),571,672,704,698,583,611,607,579,651,848,812,862,822
6,AAA Batteries (4-pack),706,711,770,726,760,803,701,709,617,872,921,1016,959
7,Apple Airpods Headphones,353,381,358,386,369,344,351,349,352,442,487,443,498
8,Bose SoundSport Headphones,298,334,303,353,319,284,280,323,277,375,410,463,413
9,Flatscreen TV,107,122,111,133,114,97,109,113,98,155,152,139,152
10,Google Phone,140,121,141,137,126,116,101,122,115,156,166,160,166
11,iPhone,154,151,149,164,182,141,137,173,162,195,236,203,193
12,LG Dryer,10,18,9,9,9,13,10,17,13,22,19,16,20
13,LG Washing Machine,9,14,21,12,10,11,13,10,17,21,15,19,13
14,Lightning Charging Cable,508,567,573,611,561,528,522,508,506,681,704,735,690
15,Macbook Pro Laptop,89,116,125,127,113,102,99,96,113,159,128,171,128
16,ThinkPad Laptop,96,110,106,92,105,81,97,83,86,124,113,120,116
17,USB-C Charging Cable,507,586,621,618,612,536,474,545,536,702,724,726,776
18,Vareebadd Phone,40,37,39,49,58,38,42,45,40,62,66,61,56
19,Wired Headphones,485,463,501,551,483,412,458,468,477,619,616,621,631
