,Product,1,2,3,4,5,6,7,8,9,10,11,12,13
1,20in Monitor,34,49,40,65,50,58,61,58,70,86,67,75,66
2,27in 4K Gaming Monitor,57,78,68,61,78,118,109,99,97,109,111,108,107
3,27in FHD Monitor,75,88,97,97,91,117,116,140,120,161,138,127,126
4,34in Ultrawide Monitor,57,75,73,69,65,102,117,117,86,97,123,125,133
5,AA Batteries (4-pack),211,304,335,360,327,407,437,426,487,498,516,522,471
6,AAA Batteries (4-pack),253,358,364,376,398,427,557,525,457,527,564,577,588
7,Apple Airpods Headphones,128,188,184,166,217,246,254,262,260,286,331,289,303
8,Bose SoundSport Headphones,100,159,161,148,158,212,215,196,225,279,262,289,271
9,Flatscreen TV,39,46,60,58,57,68,90,76,88,81,84,75,86
10,Google Phone,55,68,71,72,84,94,92,94,104,108,96,102,108
11,iPhone,58,80,73,105,104,131,96,102,111,116,116,114,134
12,LG Dryer,8,9,11,8,5,11,11,6,9,11,9,12,14
13,LG Washing Machine,8,8,8,10,12,12,7,9,12,15,11,17,14
14,Lightning Charging Cable,204,264,242,264,295,337,395,376,402,406,447,434,393
15,Macbook Pro Laptop,37,49,49,57,58,63,73,72,75,92,69,85,97
16,ThinkPad Laptop,40,51,40,51,53,79,73,66,70,81,72,84,69
17,USB-C Charging Cable,213,279,302,295,315,429,377,415,474,444,444,424,418
18,Vareebadd Phone,14,30,31,34,31,26,38,25,36,40,48,35,36
19,Wired Headphones,176,225,236,271,278,303,313,312,352,392,379,378,368
