,Product,1,2,3,4,5,6,7,8,9,10,11,12,13
1,20in Monitor,94,91,84,98,91,85,71,74,70,71,64,77,86
2,27in 4K Gaming Monitor,135,114,137,136,122,117,127,139,111,120,109,102,96
3,27in FHD Monitor,156,174,163,164,173,161,157,167,136,140,137,143,111
4,34in Ultrawide Monitor,151,167,147,137,140,127,117,113,132,103,105,97,121
5,AA Batteries (4-pack),660,656,678,639,539,535,566,543,531,463,530,511,464
6,AAA Batteries (4-pack),636,671,659,735,613,707,667,682,654,561,509,497,452
7,Apple Airpods Headphones,359,343,315,395,343,280,328,324,275,266,272,265,285
8,Bose SoundSport Headphones,281,326,279,308,268,266,288,246,257,212,225,234,241
9,Flatscreen TV,93,107,105,127,89,98,84,95,80,90,82,78,94
10,Google Phone,130,136,139,121,138,104,105,120,104,86,90,94,83
11,iPhone,162,158,183,142,129,163,144,137,153,113,122,132,126
12,LG Dryer,18,15,26,18,11,18,17,18,17,12,9,8,12
13,LG Washing Machine,16,20,7,20,13,17,11,13,12,13,11,18,12
14,Lightning Charging Cable,520,563,573,567,467,467,444,511,462,385,402,389,390
15,Macbook Pro Laptop,99,87,107,124,117,108,101,100,104,88,89,84,71
16,ThinkPad Laptop,82,93,81,106,94,93,73,79,77,71,85,68,73
17,USB-C Charging Cable,509,563,556,467,478,431,508,491,458,356,393,403,398
18,Vareebadd Phone,55,50,53,44,46,34,42,40,51,42,33,31,38
19,Wired Headphones,486,496,486,437,467,407,425,425,399,375,351,337,329
